create_time,breath_line,heart_line
2025/06/22 19:01:51,0.00331116,0.174419
2025/06/22 19:01:52,-0.0480357,-0.023426
2025/06/22 19:01:53,0.00521694,-0.0553241
2025/06/22 19:01:54,0.0132359,0.463924
2025/06/22 19:01:55,-0.0883664,-0.0586845
2025/06/22 19:01:56,0.00808877,0.186395
2025/06/22 19:01:57,-0.0559863,0.365292
2025/06/22 19:01:58,0.214165,0.486496
2025/06/22 19:01:59,-0.0710785,-0.0203097
2025/06/22 19:02:00,-0.0885206,-0.095426
2025/06/22 19:02:01,-0.0185879,-0.201461
2025/06/22 19:02:02,0.0199261,-0.0683357
2025/06/22 19:02:03,0.0239761,-0.033218
2025/06/22 19:02:04,-0.0276003,-0.0754277
2025/06/22 19:02:05,0.010979,0.162726
2025/06/22 19:02:06,0.0240851,0.045369
2025/06/22 19:02:07,-0.0336618,0.0716847
2025/06/22 19:02:08,0.00543777,0.0120345
2025/06/22 19:02:09,0.0345307,-0.0757794
2025/06/22 19:02:10,-0.0311251,0.0990049
2025/06/22 19:02:11,0.00429928,0.0246155
2025/06/22 19:02:12,,
2025/06/22 19:02:13,-0.00796873,-0.00721862
2025/06/22 19:02:14,-0.117655,0.495505
2025/06/22 19:02:15,0.143611,0.205876
2025/06/22 19:02:16,-0.0702092,-0.106912
2025/06/22 19:02:17,0.0161045,-0.00249835
2025/06/22 19:02:18,0.022203,-0.189479
2025/06/22 19:02:19,-0.0183105,-0.00523514
2025/06/22 19:02:20,-0.0548481,0.150188
2025/06/22 19:02:21,0.0235718,-0.105854
2025/06/22 19:02:22,0.00666881,-0.257084
2025/06/22 19:02:23,-0.0147916,-0.253057
2025/06/22 19:02:24,0.00786993,0.0806429
2025/06/22 19:02:25,0.0319715,0.0590444
2025/06/22 19:02:26,0.00350043,-0.160974
2025/06/22 19:02:27,0.039348,-0.16566
2025/06/22 19:02:28,-0.0212046,0.0737789
2025/06/22 19:02:29,-0.00811285,0.0523903
2025/06/22 19:02:30,-0.0087636,0.0613257
2025/06/22 19:02:31,0.0058531,0.0575064
2025/06/22 19:02:32,-0.0042982,0.207127
2025/06/22 19:02:33,-0.0285711,0.14166
2025/06/22 19:02:34,0.00469499,-0.00642977
2025/06/22 19:02:35,0.0170265,-0.118174
2025/06/22 19:02:36,-0.0351813,-0.0921081
